Year,Local Government Area,Location Division,Location Subdivision,Location Group,Offence Count
2018,Monash,1 Residential,13 Grounds/surrounding land,135 Shed,12
2018,Monash,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,57
2018,Monash,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),26
2018,Monash,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,508
2018,Monash,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,87
2018,Monash,2 Community,21 Education,211 School,77
2018,Monash,2 Community,21 Education,212 School Grounds,47
2018,Monash,2 Community,21 Education,213 Other Educational,59
2018,Monash,2 Community,22 Health,221 Hospital,58
2018,Monash,2 Community,22 Health,222 Medical Centre,135
2018,Monash,2 Community,22 Health,223 Dental,5
2018,Monash,2 Community,22 Health,224 Other Health,19
2018,Monash,2 Community,23 Religious,231 Church,22
2018,Monash,2 Community,23 Religious,232 Other religious,8
2018,Monash,2 Community,24 Public Transport,241 Train,11
2018,Monash,2 Community,24 Public Transport,242 Train Station,206
2018,Monash,2 Community,24 Public Transport,243 Railway Carpark,162
2018,Monash,2 Community,24 Public Transport,244 Tram/Tram Stop,1
2018,Monash,2 Community,24 Public Transport,245 Bus/Bus Stop,29
2018,Monash,2 Community,24 Public Transport,246 Depot/Terminal,2
2018,Monash,2 Community,24 Public Transport,249 Taxi,4
2018,Monash,2 Community,25 Other Transport,251 Private Car,24
2018,Monash,2 Community,25 Other Transport,255 Carpark (Single Level),353
2018,Monash,2 Community,25 Other Transport,256 Carpark (Multi Level),55
2018,Monash,2 Community,25 Other Transport,257 Other Transport Type/Area,6
2018,Monash,2 Community,26 Justice,261 Police Station,70
2018,Monash,2 Community,26 Justice,262 Court,1
2018,Monash,2 Community,26 Justice,264 Youth Training Centre,1
2018,Monash,2 Community,26 Justice,265 Other Justice Facility,1
2018,Monash,2 Community,27 Open Space,271 Parkland/Reserve,68
2018,Monash,2 Community,27 Open Space,273 Vacant Block,1
2018,Monash,2 Community,27 Open Space,275 Other Open Space,13
2018,Monash,2 Community,28 Street/footpath,281 Street/Lane/Footpath,1776
2018,Monash,2 Community,29 Other community location,292 Civic Centre,15
2018,Monash,2 Community,29 Other community location,293 Gallery,2
2018,Monash,2 Community,29 Other community location,294 Car Wash,4
2018,Monash,3 Other,31 Admin/professional,311 Business Office,209
2018,Monash,3 Other,31 Admin/professional,312 Other Admin/Professional,41
2018,Monash,3 Other,32 Financial,321 Bank,19
2018,Monash,3 Other,32 Financial,323 ATM/Eftpos,23
2018,Monash,3 Other,32 Financial,324 Other Financial,7
2018,Monash,3 Other,33 Retail,331 Chemist/Pharmacy,35
2018,Monash,3 Other,33 Retail,3310 24Hr Convenience,33
2018,Monash,3 Other,33 Retail,3311 Restaurant/Fastfood,199
2018,Monash,3 Other,33 Retail,3312 Other Retail,424
2018,Monash,3 Other,33 Retail,332 Service Station,308
2018,Monash,3 Other,33 Retail,333 Jeweller,7
2018,Monash,3 Other,33 Retail,335 Supermarket,167
2018,Monash,3 Other,33 Retail,336 Department Store,73
2018,Monash,3 Other,33 Retail,337 Shopping Complex,288
2018,Monash,3 Other,33 Retail,338 Car Sales Yard,52
2018,Monash,3 Other,33 Retail,339 Milkbar,14
2018,Monash,3 Other,34 Wholesale,341 Any Wholesale,5
2018,Monash,3 Other,35 Warehousing/storage,351 Warehousing/Storage,53
2018,Monash,3 Other,36 Manufacturing,361 Factory,135
2018,Monash,3 Other,36 Manufacturing,362 Any Manufacturing,209
2018,Monash,3 Other,38 Recreational,381 Licensed Premises,152
2018,Monash,3 Other,38 Recreational,383 Cinema,4
2018,Monash,3 Other,38 Recreational,384 Sport Area/Facility,53
2018,Monash,3 Other,38 Recreational,385 Gaming Venue,18
2018,Monash,3 Other,38 Recreational,386 Other Rec./Sports,45
2018,Monash,3 Other,39 Other location,391 Massage Parlour/Brothel,16
2018,Monash,3 Other,39 Other location,392 Other Location (Not Elsewhere),119
2018,Monash,3 Other,39 Other location,393 Construction Site,53
2018,Monash,3 Other,39 Other location,394 Veterinary Clinic,1
2018,Moonee Valley,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,663
2018,Moonee Valley,1 Residential,11 Dwelling - private,112 House,1982
2018,Moonee Valley,1 Residential,11 Dwelling - private,113 Bungalow,3
2018,Moonee Valley,1 Residential,11 Dwelling - private,116 Ministry Of Housing,171
2018,Moonee Valley,1 Residential,11 Dwelling - private,117 Farm House,1
2018,Moonee Valley,1 Residential,12 Dwelling  - non-private,121 Boarding House,6
2018,Moonee Valley,1 Residential,12 Dwelling  - non-private,122 Holiday Home,3
2018,Moonee Valley,1 Residential,12 Dwelling  - non-private,124 Nursing Home,5
2018,Moonee Valley,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,21
2018,Moonee Valley,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,7
2018,Moonee Valley,1 Residential,13 Grounds/surrounding land,131 Clothesline/Laundry,2
2018,Moonee Valley,1 Residential,13 Grounds/surrounding land,132 Backyard,35
2018,Moonee Valley,1 Residential,13 Grounds/surrounding land,133 Frontyard,156
2018,Moonee Valley,1 Residential,13 Grounds/surrounding land,134 Garage,58
2018,Moonee Valley,1 Residential,13 Grounds/surrounding land,135 Shed,12
2018,Moonee Valley,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,46
2018,Moonee Valley,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),38
2018,Moonee Valley,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,284
2018,Moonee Valley,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,179
2018,Moonee Valley,2 Community,21 Education,211 School,55
2018,Moonee Valley,2 Community,21 Education,212 School Grounds,26
2018,Moonee Valley,2 Community,21 Education,213 Other Educational,9
2018,Moonee Valley,2 Community,22 Health,221 Hospital,5
2018,Moonee Valley,2 Community,22 Health,222 Medical Centre,13
2018,Moonee Valley,2 Community,22 Health,223 Dental,1
2018,Moonee Valley,2 Community,22 Health,224 Other Health,27
2018,Moonee Valley,2 Community,23 Religious,231 Church,13
2018,Moonee Valley,2 Community,24 Public Transport,241 Train,3
2018,Moonee Valley,2 Community,24 Public Transport,242 Train Station,128
2018,Moonee Valley,2 Community,24 Public Transport,243 Railway Carpark,24
2018,Moonee Valley,2 Community,24 Public Transport,244 Tram/Tram Stop,31
2018,Moonee Valley,2 Community,24 Public Transport,245 Bus/Bus Stop,9
2018,Moonee Valley,2 Community,24 Public Transport,246 Depot/Terminal,1
2018,Moonee Valley,2 Community,24 Public Transport,248 Office (Public transport office Only),1
2018,Moonee Valley,2 Community,24 Public Transport,249 Taxi,9
2018,Moonee Valley,2 Community,25 Other Transport,251 Private Car,5
2018,Moonee Valley,2 Community,25 Other Transport,252 Airfield,2
2018,Moonee Valley,2 Community,25 Other Transport,255 Carpark (Single Level),347
2018,Moonee Valley,2 Community,25 Other Transport,256 Carpark (Multi Level),24
2018,Moonee Valley,2 Community,25 Other Transport,257 Other Transport Type/Area,17
2018,Moonee Valley,2 Community,26 Justice,261 Police Station,85
2018,Moonee Valley,2 Community,26 Justice,265 Other Justice Facility,3
2018,Moonee Valley,2 Community,27 Open Space,271 Parkland/Reserve,68
2018,Moonee Valley,2 Community,27 Open Space,273 Vacant Block,3
2018,Moonee Valley,2 Community,27 Open Space,275 Other Open Space,16
2018,Moonee Valley,2 Community,28 Street/footpath,281 Street/Lane/Footpath,1881
2018,Moonee Valley,2 Community,29 Other community location,292 Civic Centre,25
2018,Moonee Valley,2 Community,29 Other community location,294 Car Wash,19
2018,Moonee Valley,3 Other,31 Admin/professional,311 Business Office,68
2018,Moonee Valley,3 Other,31 Admin/professional,312 Other Admin/Professional,22
2018,Moonee Valley,3 Other,32 Financial,321 Bank,25
2018,Moonee Valley,3 Other,32 Financial,323 ATM/Eftpos,7
2018,Moonee Valley,3 Other,32 Financial,324 Other Financial,5
2018,Moonee Valley,3 Other,33 Retail,331 Chemist/Pharmacy,89
2018,Moonee Valley,3 Other,33 Retail,3310 24Hr Convenience,39
2018,Moonee Valley,3 Other,33 Retail,3311 Restaurant/Fastfood,112
2018,Moonee Valley,3 Other,33 Retail,3312 Other Retail,378
2018,Moonee Valley,3 Other,33 Retail,332 Service Station,123
2018,Moonee Valley,3 Other,33 Retail,333 Jeweller,7
2018,Moonee Valley,3 Other,33 Retail,334 2nd Hand Dealer,14
2018,Moonee Valley,3 Other,33 Retail,335 Supermarket,209
2018,Moonee Valley,3 Other,33 Retail,336 Department Store,62
2018,Moonee Valley,3 Other,33 Retail,337 Shopping Complex,277
2018,Moonee Valley,3 Other,33 Retail,338 Car Sales Yard,19
2018,Moonee Valley,3 Other,33 Retail,339 Milkbar,15
2018,Moonee Valley,3 Other,34 Wholesale,341 Any Wholesale,3
2018,Moonee Valley,3 Other,35 Warehousing/storage,351 Warehousing/Storage,18
2018,Moonee Valley,3 Other,36 Manufacturing,361 Factory,14
2018,Moonee Valley,3 Other,36 Manufacturing,362 Any Manufacturing,2
2018,Moonee Valley,3 Other,37 Agricultural,371 Farmland/Agricultural,48
2018,Moonee Valley,3 Other,37 Agricultural,373 Other Agricultural,7
2018,Moonee Valley,3 Other,38 Recreational,381 Licensed Premises,128
2018,Moonee Valley,3 Other,38 Recreational,382 Tab,4
2018,Moonee Valley,3 Other,38 Recreational,384 Sport Area/Facility,54
2018,Moonee Valley,3 Other,38 Recreational,385 Gaming Venue,24
2018,Moonee Valley,3 Other,38 Recreational,386 Other Rec./Sports,47
2018,Moonee Valley,3 Other,39 Other location,392 Other Location (Not Elsewhere),59
2018,Moonee Valley,3 Other,39 Other location,393 Construction Site,39
2018,Moonee Valley,3 Other,39 Other location,394 Veterinary Clinic,1
2018,Moorabool,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,29
2018,Moorabool,1 Residential,11 Dwelling - private,112 House,694
2018,Moorabool,1 Residential,11 Dwelling - private,113 Bungalow,5
2018,Moorabool,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,4
2018,Moorabool,1 Residential,11 Dwelling - private,116 Ministry Of Housing,9
2018,Moorabool,1 Residential,11 Dwelling - private,117 Farm House,15
2018,Moorabool,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2018,Moorabool,1 Residential,12 Dwelling  - non-private,124 Nursing Home,1
2018,Moorabool,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,1
2018,Moorabool,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,4
2018,Moorabool,1 Residential,13 Grounds/surrounding land,1310 Farm Building,18
2018,Moorabool,1 Residential,13 Grounds/surrounding land,132 Backyard,52
2018,Moorabool,1 Residential,13 Grounds/surrounding land,133 Frontyard,112
2018,Moorabool,1 Residential,13 Grounds/surrounding land,134 Garage,25
2018,Moorabool,1 Residential,13 Grounds/surrounding land,135 Shed,33
2018,Moorabool,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,26
2018,Moorabool,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),4
2018,Moorabool,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,53
2018,Moorabool,2 Community,21 Education,211 School,18
2018,Moorabool,2 Community,21 Education,212 School Grounds,10
2018,Moorabool,2 Community,21 Education,213 Other Educational,4
2018,Moorabool,2 Community,22 Health,221 Hospital,1
2018,Moorabool,2 Community,22 Health,224 Other Health,2
2018,Moorabool,2 Community,23 Religious,231 Church,7
2018,Moorabool,2 Community,24 Public Transport,241 Train,2
2018,Moorabool,2 Community,24 Public Transport,242 Train Station,21
2018,Moorabool,2 Community,24 Public Transport,243 Railway Carpark,16
2018,Moorabool,2 Community,24 Public Transport,245 Bus/Bus Stop,1
2018,Moorabool,2 Community,24 Public Transport,246 Depot/Terminal,4
2018,Moorabool,2 Community,24 Public Transport,249 Taxi,1
2018,Moorabool,2 Community,25 Other Transport,251 Private Car,6
2018,Moorabool,2 Community,25 Other Transport,255 Carpark (Single Level),45
2018,Moorabool,2 Community,25 Other Transport,256 Carpark (Multi Level),5
2018,Moorabool,2 Community,25 Other Transport,257 Other Transport Type/Area,5
2018,Moorabool,2 Community,26 Justice,261 Police Station,24
2018,Moorabool,2 Community,26 Justice,262 Court,20
2018,Moorabool,2 Community,27 Open Space,271 Parkland/Reserve,38
2018,Moorabool,2 Community,27 Open Space,272 Rural,16
2018,Moorabool,2 Community,27 Open Space,275 Other Open Space,13
2018,Moorabool,2 Community,28 Street/footpath,281 Street/Lane/Footpath,367
2018,Moorabool,2 Community,29 Other community location,291 Cemetery,2
2018,Moorabool,2 Community,29 Other community location,292 Civic Centre,1
2018,Moorabool,3 Other,31 Admin/professional,311 Business Office,9
2018,Moorabool,3 Other,31 Admin/professional,312 Other Admin/Professional,2
2018,Moorabool,3 Other,32 Financial,321 Bank,3
2018,Moorabool,3 Other,33 Retail,331 Chemist/Pharmacy,1
2018,Moorabool,3 Other,33 Retail,3310 24Hr Convenience,1
2018,Moorabool,3 Other,33 Retail,3311 Restaurant/Fastfood,21
2018,Moorabool,3 Other,33 Retail,3312 Other Retail,31
2018,Moorabool,3 Other,33 Retail,332 Service Station,138
2018,Moorabool,3 Other,33 Retail,335 Supermarket,38
2018,Moorabool,3 Other,33 Retail,336 Department Store,2
2018,Moorabool,3 Other,33 Retail,337 Shopping Complex,39
2018,Moorabool,3 Other,33 Retail,338 Car Sales Yard,3
2018,Moorabool,3 Other,33 Retail,339 Milkbar,6
2018,Moorabool,3 Other,34 Wholesale,341 Any Wholesale,2
2018,Moorabool,3 Other,35 Warehousing/storage,351 Warehousing/Storage,9
2018,Moorabool,3 Other,36 Manufacturing,361 Factory,11
2018,Moorabool,3 Other,36 Manufacturing,362 Any Manufacturing,5
2018,Moorabool,3 Other,37 Agricultural,371 Farmland/Agricultural,32
2018,Moorabool,3 Other,37 Agricultural,373 Other Agricultural,13
2018,Moorabool,3 Other,38 Recreational,381 Licensed Premises,18
2018,Moorabool,3 Other,38 Recreational,384 Sport Area/Facility,20
2018,Moorabool,3 Other,38 Recreational,385 Gaming Venue,7
2018,Moorabool,3 Other,38 Recreational,386 Other Rec./Sports,14
2018,Moorabool,3 Other,39 Other location,392 Other Location (Not Elsewhere),25
2018,Moorabool,3 Other,39 Other location,393 Construction Site,10
2018,Moorabool,3 Other,39 Other location,394 Veterinary Clinic,1
2018,Mornington Peninsula,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,260
2018,Mornington Peninsula,1 Residential,11 Dwelling - private,112 House,3088
2018,Mornington Peninsula,1 Residential,11 Dwelling - private,113 Bungalow,19
2018,Mornington Peninsula,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,42
2018,Mornington Peninsula,1 Residential,11 Dwelling - private,115 Houseboat,1
2018,Mornington Peninsula,1 Residential,11 Dwelling - private,116 Ministry Of Housing,27
2018,Mornington Peninsula,1 Residential,11 Dwelling - private,117 Farm House,12
2018,Mornington Peninsula,1 Residential,12 Dwelling  - non-private,121 Boarding House,22
2018,Mornington Peninsula,1 Residential,12 Dwelling  - non-private,122 Holiday Home,282
2018,Mornington Peninsula,1 Residential,12 Dwelling  - non-private,123 Guest House,8
2018,Mornington Peninsula,1 Residential,12 Dwelling  - non-private,124 Nursing Home,22
2018,Mornington Peninsula,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,35
2018,Mornington Peninsula,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,22
2018,Mornington Peninsula,1 Residential,13 Grounds/surrounding land,1310 Farm Building,17
2018,Mornington Peninsula,1 Residential,13 Grounds/surrounding land,132 Backyard,112
2018,Mornington Peninsula,1 Residential,13 Grounds/surrounding land,133 Frontyard,416
2018,Mornington Peninsula,1 Residential,13 Grounds/surrounding land,134 Garage,156
2018,Mornington Peninsula,1 Residential,13 Grounds/surrounding land,135 Shed,113
2018,Mornington Peninsula,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,57
2018,Mornington Peninsula,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),46
2018,Mornington Peninsula,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,546
2018,Mornington Peninsula,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,14
2018,Mornington Peninsula,2 Community,21 Education,211 School,109
2018,Mornington Peninsula,2 Community,21 Education,212 School Grounds,68
2018,Mornington Peninsula,2 Community,21 Education,213 Other Educational,10
2018,Mornington Peninsula,2 Community,22 Health,221 Hospital,7
2018,Mornington Peninsula,2 Community,22 Health,222 Medical Centre,14
2018,Mornington Peninsula,2 Community,22 Health,223 Dental,2
2018,Mornington Peninsula,2 Community,22 Health,224 Other Health,31
2018,Mornington Peninsula,2 Community,23 Religious,231 Church,15
2018,Mornington Peninsula,2 Community,23 Religious,232 Other religious,1
2018,Mornington Peninsula,2 Community,24 Public Transport,242 Train Station,17
2018,Mornington Peninsula,2 Community,24 Public Transport,243 Railway Carpark,8
2018,Mornington Peninsula,2 Community,24 Public Transport,245 Bus/Bus Stop,40
2018,Mornington Peninsula,2 Community,24 Public Transport,249 Taxi,2
2018,Mornington Peninsula,2 Community,25 Other Transport,251 Private Car,14
2018,Mornington Peninsula,2 Community,25 Other Transport,252 Airfield,3
2018,Mornington Peninsula,2 Community,25 Other Transport,253 Boat,8
2018,Mornington Peninsula,2 Community,25 Other Transport,254 Dock/Wharf,17
2018,Mornington Peninsula,2 Community,25 Other Transport,255 Carpark (Single Level),249
2018,Mornington Peninsula,2 Community,25 Other Transport,256 Carpark (Multi Level),5
2018,Mornington Peninsula,2 Community,25 Other Transport,257 Other Transport Type/Area,22
2018,Mornington Peninsula,2 Community,26 Justice,261 Police Station,158
2018,Mornington Peninsula,2 Community,26 Justice,262 Court,55
2018,Mornington Peninsula,2 Community,26 Justice,265 Other Justice Facility,2
2018,Mornington Peninsula,2 Community,26 Justice,269 Other Justice (nec),1
2018,Mornington Peninsula,2 Community,27 Open Space,271 Parkland/Reserve,111
2018,Mornington Peninsula,2 Community,27 Open Space,272 Rural,2
2018,Mornington Peninsula,2 Community,27 Open Space,273 Vacant Block,6
2018,Mornington Peninsula,2 Community,27 Open Space,274 Beach Foreshore,174
2018,Mornington Peninsula,2 Community,27 Open Space,275 Other Open Space,27
2018,Mornington Peninsula,2 Community,27 Open Space,276 Beach Car Park,42
2018,Mornington Peninsula,2 Community,28 Street/footpath,281 Street/Lane/Footpath,2051
2018,Mornington Peninsula,2 Community,29 Other community location,291 Cemetery,1
2018,Mornington Peninsula,2 Community,29 Other community location,292 Civic Centre,16
2018,Mornington Peninsula,2 Community,29 Other community location,293 Gallery,2
2018,Mornington Peninsula,2 Community,29 Other community location,294 Car Wash,4
2018,Mornington Peninsula,3 Other,31 Admin/professional,311 Business Office,59
2018,Mornington Peninsula,3 Other,31 Admin/professional,312 Other Admin/Professional,20
2018,Mornington Peninsula,3 Other,32 Financial,321 Bank,16
2018,Mornington Peninsula,3 Other,32 Financial,323 ATM/Eftpos,7
2018,Mornington Peninsula,3 Other,32 Financial,324 Other Financial,2
2018,Mornington Peninsula,3 Other,33 Retail,331 Chemist/Pharmacy,15
2018,Mornington Peninsula,3 Other,33 Retail,3310 24Hr Convenience,28
2018,Mornington Peninsula,3 Other,33 Retail,3311 Restaurant/Fastfood,125
2018,Mornington Peninsula,3 Other,33 Retail,3312 Other Retail,373
2018,Mornington Peninsula,3 Other,33 Retail,332 Service Station,257
2018,Mornington Peninsula,3 Other,33 Retail,333 Jeweller,2
2018,Mornington Peninsula,3 Other,33 Retail,334 2nd Hand Dealer,7
2018,Mornington Peninsula,3 Other,33 Retail,335 Supermarket,175
2018,Mornington Peninsula,3 Other,33 Retail,336 Department Store,48
2018,Mornington Peninsula,3 Other,33 Retail,337 Shopping Complex,123
2018,Mornington Peninsula,3 Other,33 Retail,338 Car Sales Yard,45
2018,Mornington Peninsula,3 Other,33 Retail,339 Milkbar,20
2018,Mornington Peninsula,3 Other,35 Warehousing/storage,351 Warehousing/Storage,17
2018,Mornington Peninsula,3 Other,36 Manufacturing,361 Factory,87
2018,Mornington Peninsula,3 Other,36 Manufacturing,362 Any Manufacturing,7
2018,Mornington Peninsula,3 Other,37 Agricultural,371 Farmland/Agricultural,8
2018,Mornington Peninsula,3 Other,37 Agricultural,373 Other Agricultural,5
2018,Mornington Peninsula,3 Other,38 Recreational,381 Licensed Premises,228
2018,Mornington Peninsula,3 Other,38 Recreational,382 Tab,1
2018,Mornington Peninsula,3 Other,38 Recreational,384 Sport Area/Facility,66
2018,Mornington Peninsula,3 Other,38 Recreational,385 Gaming Venue,10
2018,Mornington Peninsula,3 Other,38 Recreational,386 Other Rec./Sports,62
2018,Mornington Peninsula,3 Other,39 Other location,392 Other Location (Not Elsewhere),131
2018,Mornington Peninsula,3 Other,39 Other location,393 Construction Site,17
2018,Mornington Peninsula,3 Other,39 Other location,394 Veterinary Clinic,2
2018,Mount Alexander,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,22
2018,Mount Alexander,1 Residential,11 Dwelling - private,112 House,264
2018,Mount Alexander,1 Residential,11 Dwelling - private,116 Ministry Of Housing,4
2018,Mount Alexander,1 Residential,11 Dwelling - private,117 Farm House,4
2018,Mount Alexander,1 Residential,12 Dwelling  - non-private,122 Holiday Home,1
2018,Mount Alexander,1 Residential,12 Dwelling  - non-private,124 Nursing Home,1
2018,Mount Alexander,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,2
2018,Mount Alexander,1 Residential,13 Grounds/surrounding land,132 Backyard,16
2018,Mount Alexander,1 Residential,13 Grounds/surrounding land,133 Frontyard,28
2018,Mount Alexander,1 Residential,13 Grounds/surrounding land,134 Garage,2
2018,Mount Alexander,1 Residential,13 Grounds/surrounding land,135 Shed,12
2018,Mount Alexander,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,6
2018,Mount Alexander,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),6
2018,Mount Alexander,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,23
2018,Mount Alexander,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,2
2018,Mount Alexander,2 Community,21 Education,211 School,13
2018,Mount Alexander,2 Community,21 Education,212 School Grounds,11
2018,Mount Alexander,2 Community,21 Education,213 Other Educational,4
2018,Mount Alexander,2 Community,22 Health,221 Hospital,2
2018,Mount Alexander,2 Community,22 Health,222 Medical Centre,1
2018,Mount Alexander,2 Community,22 Health,224 Other Health,3
2018,Mount Alexander,2 Community,23 Religious,231 Church,3
2018,Mount Alexander,2 Community,24 Public Transport,241 Train,3
2018,Mount Alexander,2 Community,24 Public Transport,242 Train Station,9
2018,Mount Alexander,2 Community,24 Public Transport,243 Railway Carpark,2
2018,Mount Alexander,2 Community,25 Other Transport,251 Private Car,1
2018,Mount Alexander,2 Community,25 Other Transport,255 Carpark (Single Level),5
2018,Mount Alexander,2 Community,25 Other Transport,257 Other Transport Type/Area,6
2018,Mount Alexander,2 Community,26 Justice,261 Police Station,10
2018,Mount Alexander,2 Community,26 Justice,262 Court,41
2018,Mount Alexander,2 Community,26 Justice,265 Other Justice Facility,1
2018,Mount Alexander,2 Community,26 Justice,269 Other Justice (nec),3
2018,Mount Alexander,2 Community,27 Open Space,271 Parkland/Reserve,31
2018,Mount Alexander,2 Community,27 Open Space,272 Rural,4
2018,Mount Alexander,2 Community,27 Open Space,273 Vacant Block,2
2018,Mount Alexander,2 Community,27 Open Space,275 Other Open Space,10
2018,Mount Alexander,2 Community,28 Street/footpath,281 Street/Lane/Footpath,155
2018,Mount Alexander,2 Community,29 Other community location,291 Cemetery,2
2018,Mount Alexander,2 Community,29 Other community location,292 Civic Centre,7
2018,Mount Alexander,3 Other,31 Admin/professional,311 Business Office,18
2018,Mount Alexander,3 Other,32 Financial,321 Bank,20
2018,Mount Alexander,3 Other,32 Financial,323 ATM/Eftpos,1
2018,Mount Alexander,3 Other,32 Financial,324 Other Financial,1
2018,Mount Alexander,3 Other,33 Retail,3311 Restaurant/Fastfood,8
2018,Mount Alexander,3 Other,33 Retail,3312 Other Retail,20
2018,Mount Alexander,3 Other,33 Retail,332 Service Station,16
2018,Mount Alexander,3 Other,33 Retail,334 2nd Hand Dealer,3
2018,Mount Alexander,3 Other,33 Retail,335 Supermarket,13
2018,Mount Alexander,3 Other,33 Retail,336 Department Store,4
2018,Mount Alexander,3 Other,33 Retail,337 Shopping Complex,2
2018,Mount Alexander,3 Other,33 Retail,338 Car Sales Yard,1
2018,Mount Alexander,3 Other,34 Wholesale,341 Any Wholesale,1
2018,Mount Alexander,3 Other,36 Manufacturing,361 Factory,4
2018,Mount Alexander,3 Other,37 Agricultural,371 Farmland/Agricultural,15
2018,Mount Alexander,3 Other,37 Agricultural,373 Other Agricultural,2
2018,Mount Alexander,3 Other,38 Recreational,381 Licensed Premises,17
2018,Mount Alexander,3 Other,38 Recreational,384 Sport Area/Facility,8
2018,Mount Alexander,3 Other,38 Recreational,385 Gaming Venue,3
2018,Mount Alexander,3 Other,38 Recreational,386 Other Rec./Sports,2
2018,Mount Alexander,3 Other,39 Other location,392 Other Location (Not Elsewhere),19
2018,Mount Alexander,3 Other,39 Other location,393 Construction Site,4
2018,Mount Alexander,3 Other,39 Other location,394 Veterinary Clinic,1
2018,Moyne,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,4
2018,Moyne,1 Residential,11 Dwelling - private,112 House,190
2018,Moyne,1 Residential,11 Dwelling - private,113 Bungalow,6
2018,Moyne,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,11
2018,Moyne,1 Residential,11 Dwelling - private,116 Ministry Of Housing,3
2018,Moyne,1 Residential,11 Dwelling - private,117 Farm House,11
2018,Moyne,1 Residential,12 Dwelling  - non-private,121 Boarding House,1
2018,Moyne,1 Residential,12 Dwelling  - non-private,122 Holiday Home,2
2018,Moyne,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,58
2018,Moyne,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,1
2018,Moyne,1 Residential,13 Grounds/surrounding land,1310 Farm Building,7
2018,Moyne,1 Residential,13 Grounds/surrounding land,132 Backyard,7
2018,Moyne,1 Residential,13 Grounds/surrounding land,133 Frontyard,30
2018,Moyne,1 Residential,13 Grounds/surrounding land,134 Garage,6
2018,Moyne,1 Residential,13 Grounds/surrounding land,135 Shed,16
2018,Moyne,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,3
2018,Moyne,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),3
2018,Moyne,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,10
2018,Moyne,2 Community,21 Education,211 School,2
2018,Moyne,2 Community,21 Education,212 School Grounds,3
2018,Moyne,2 Community,22 Health,221 Hospital,1
2018,Moyne,2 Community,22 Health,224 Other Health,1
2018,Moyne,2 Community,23 Religious,231 Church,2
2018,Moyne,2 Community,24 Public Transport,245 Bus/Bus Stop,1
2018,Moyne,2 Community,25 Other Transport,251 Private Car,1
2018,Moyne,2 Community,25 Other Transport,252 Airfield,3
2018,Moyne,2 Community,25 Other Transport,254 Dock/Wharf,4
2018,Moyne,2 Community,25 Other Transport,255 Carpark (Single Level),1
2018,Moyne,2 Community,26 Justice,261 Police Station,6
2018,Moyne,2 Community,27 Open Space,271 Parkland/Reserve,18
2018,Moyne,2 Community,27 Open Space,272 Rural,4
2018,Moyne,2 Community,27 Open Space,273 Vacant Block,1
2018,Moyne,2 Community,27 Open Space,274 Beach Foreshore,5
2018,Moyne,2 Community,27 Open Space,275 Other Open Space,5
2018,Moyne,2 Community,27 Open Space,276 Beach Car Park,1
2018,Moyne,2 Community,28 Street/footpath,281 Street/Lane/Footpath,82
2018,Moyne,2 Community,29 Other community location,292 Civic Centre,2
2018,Moyne,3 Other,31 Admin/professional,311 Business Office,3
